CODE,POLITICS,POPULATION,AGE25_PROPTN,AGE_MEDIAN,AGE50_PROPTN,POP_DENSITY,GDP,INFANT_MORT,DOCS,VAX_RATE,HEALTHCARE_BASIS,HEALTHCARE_COST,DEATH_RATE,OBS_TYPE,GROCERIES
State1,STABLE DEM,3170.55770891387,18.3360008172505,37.0820785367727,39.0829364722026,499.576587443053,54.2493715368307,12.4899333969469,26.4256110329142,56.3326771353353,FREE,,24.67719720284,Test,jam%bread%cocoa%pork%butter%rolls%dressings%chicken
State2,STABLE DEM,4317.65147149254,15.346886151423,33.3514248802717,39.352513024279,498.235440640802,56.4664043944705,12.8180872034051,19.8299369857779,59.0809914535587,INSURANCE,4907.11722918037,15.3688178622006,Test,cocoa%coffee%chocolate%salt%beef%cheese%stationery
State3,STABLE DEM,4621.41392001677,,35.5757929770218,37.4053439196938,,,14.2745456130261,19.9078289046808,57.9486258329897,FREE,,16.1340549818522,Train,tea%jam%cocoa%butter%sugar%wine
State4,STABLE DEM,2595.62637310845,12.94107655215,,41.4164801014804,486.430541444677,57.2070718105794,14.8342334608296,24.369449932392,61.9418019092375,FREE,,14.7503169533187,Train,magazine%lamb%chocolate%milk%soft drink%cheese%crisps%coffee
State5,STABLE DEM,,14.5550259315128,31.8451923337791,38.9959008892071,,61.6022043368258,12.4271013964286,,56.085498373962,INSURANCE,4708.53665524253,15.2823173516755,Test,flour%magazine%salads%crackers
State6,UNSTABLE DEM,1889.42378875433,12.0824441489933,,,506.68627360691,,,27.8091333870238,57.3359254994345,INSURANCE,4819.94565533416,26.3402861729804,Train,cocoa%coffee%dressings%salads%magazine%soft drink%beer
State7,--,1603.35281477211,,31.4212359027628,,518.937754517182,54.2481693651423,,21.4024945380459,64.7051175345787,PRIVATE,14987.7278259618,23.2110163389772,Train,coffee%rolls%stationery%cordial%dressings%cheese%milk%pork%lamb%biscuits%sauces
State8,OTHER,2142.47404443337,10.3724352115828,31.561246858418,,,56.5202407587065,15.7353986780896,20.4906101015432,,INSURANCE,5022.71380923701,15.1136875549038,Test,chocolate%wine%sugar%cordial%beef%crisps%sauces%pork
State9,UNSTABLE DEM,,12.4595292782055,28.7010638695027,34.8872273083187,504.395172061804,,,24.161001406889,61.8166902687192,PRIVATE,15283.7280220057,19.9449336218296,Test,pork%flour%salads%stationery%condiments%rolls
State10,UNSTABLE DEM,5829.91211824737,17.0588740116061,34.1870221063184,40.0250246520396,497.726410559677,54.5521358701836,13.0053697441203,22.2657834090971,60.4444353670277,FREE,,18.7076074439041,Test,magazine%beer%stationery%cider%crisps
